child_anonim;group;match;crawling_age;walking_age;babbling_age
4719;Bilinguals;match1;NA;NA;NA
4724;Bilinguals;match1;NA;NA;NA
4730;Bilinguals;match1;NA;NA;NA
4737;Bilinguals;match1;8;14;5
4781;Bilinguals;match1;NA;NA;NA
4783;Bilinguals;match1;NA;NA;NA
4794;Bilinguals;match1;NA;NA;NA
4816;Bilinguals;match1;NA;NA;NA
4817;Bilinguals;match1;NA;NA;NA
4851;Bilinguals;match1;NA;NA;NA
4859;Bilinguals;match1;NA;NA;NA
4868;Bilinguals;match1;NA;NA;NA
4882;Bilinguals;match1;7;NA;NA
4883;Bilinguals;match1;7;NA;NA
4889;Bilinguals;match1;NA;NA;NA
4893;Bilinguals;match1;NA;NA;NA
4910;Bilinguals;match1;NA;NA;NA
4937;Bilinguals;match1;5;NA;5
4985;Bilinguals;match1;NA;NA;NA
4996;Bilinguals;match1;7;NA;7
5039;Bilinguals;match1;9;13;4
5048;Bilinguals;match1;NA;NA;NA
5056;Bilinguals;match1;NA;NA;NA
5068;Bilinguals;match1;NA;NA;NA
5069;Bilinguals;match1;NA;NA;NA
5076;Bilinguals;match1;NA;NA;NA
5079;Bilinguals;match1;NA;NA;NA
5080;Bilinguals;match1;10;NA;9
5092;Bilinguals;match1;NA;NA;NA
5160;Bilinguals;match1;NA;NA;NA
5163;Bilinguals;match1;6;12;NA
5203;Bilinguals;match1;NA;NA;NA
5205;Bilinguals;match1;NA;NA;NA
5260;Bilinguals;match1;NA;NA;NA
5262;Bilinguals;match1;NA;NA;NA
5330;Bilinguals;match1;NA;NA;NA
5374;Bilinguals;match1;NA;NA;NA
5406;Bilinguals;match1;NA;NA;NA
5441;Bilinguals;match1;NA;NA;NA
5581;Bilinguals;match1;NA;NA;NA
5582;Bilinguals;match1;NA;NA;NA
5603;Bilinguals;match1;9;12;3
5691;Bilinguals;match1;NA;NA;NA
5745;Bilinguals;match1;NA;NA;NA
5751;Bilinguals;match1;NA;NA;NA
5754;Bilinguals;match1;NA;NA;NA
5786;Bilinguals;match1;NA;NA;NA
5814;Bilinguals;match1;NA;NA;NA
5832;Bilinguals;match1;NA;NA;NA
5869;Bilinguals;match1;NA;NA;NA
52;Monolinguals1;match1;6;11;8
87;Monolinguals1;match1;6;NA;8
219;Monolinguals1;match1;NA;NA;NA
233;Monolinguals1;match1;NA;NA;NA
283;Monolinguals1;match1;10;NA;9
352;Monolinguals1;match1;NA;NA;NA
377;Monolinguals1;match1;7;NA;NA
396;Monolinguals1;match1;NA;NA;NA
405;Monolinguals1;match1;9;NA;11
435;Monolinguals1;match1;NA;NA;NA
454;Monolinguals1;match1;NA;NA;NA
489;Monolinguals1;match1;NA;NA;NA
513;Monolinguals1;match1;NA;NA;NA
538;Monolinguals1;match1;NA;NA;NA
607;Monolinguals1;match1;7;13;7
610;Monolinguals1;match1;NA;NA;NA
625;Monolinguals1;match1;NA;NA;NA
626;Monolinguals1;match1;8;NA;6
630;Monolinguals1;match1;NA;NA;NA
637;Monolinguals1;match1;NA;NA;NA
654;Monolinguals1;match1;NA;NA;NA
671;Monolinguals1;match1;NA;NA;NA
699;Monolinguals1;match1;NA;NA;NA
705;Monolinguals1;match1;NA;NA;NA
751;Monolinguals1;match1;8;11;6
769;Monolinguals1;match1;NA;NA;NA
772;Monolinguals1;match1;NA;NA;NA
784;Monolinguals1;match1;13;17;5
797;Monolinguals1;match1;NA;NA;NA
821;Monolinguals1;match1;NA;NA;NA
842;Monolinguals1;match1;NA;NA;NA
867;Monolinguals1;match1;9;NA;NA
872;Monolinguals1;match1;NA;NA;NA
886;Monolinguals1;match1;NA;NA;NA
902;Monolinguals1;match1;NA;NA;NA
909;Monolinguals1;match1;NA;NA;NA
919;Monolinguals1;match1;8;NA;8
950;Monolinguals1;match1;NA;NA;NA
952;Monolinguals1;match1;NA;NA;NA
970;Monolinguals1;match1;NA;NA;NA
1030;Monolinguals1;match1;NA;NA;NA
1062;Monolinguals1;match1;NA;NA;NA
1097;Monolinguals1;match1;NA;NA;NA
1101;Monolinguals1;match1;NA;NA;NA
1145;Monolinguals1;match1;NA;NA;NA
1176;Monolinguals1;match1;NA;NA;NA
1177;Monolinguals1;match1;NA;NA;NA
1181;Monolinguals1;match1;NA;NA;NA
1193;Monolinguals1;match1;NA;NA;NA
1205;Monolinguals1;match1;NA;NA;NA
1211;Monolinguals1;match1;NA;NA;NA
1215;Monolinguals1;match1;NA;NA;NA
